Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST
ci,14343812,1,"Sunday, January 20, 2008 09:36:24 UTC",33.4980,-116.4538,1.1,5.30,41
ci,14343808,1,"Sunday, January 20, 2008 09:29:58 UTC",33.5029,-116.4600,1.1,7.80,46
nc,51194973,1,"Sunday, January 20, 2008 09:19:10 UTC",37.0578,-121.2078,1.5,6.70,27
nm,hwb0120a,A,"Sunday, January 20, 2008 09:13:54 UTC",36.6300,-89.5600,2.5,9.90,35
nc,51194972,1,"Sunday, January 20, 2008 08:58:15 UTC",35.6920,-120.5437,1.7,3.60,38
uw,01200856,1,"Sunday, January 20, 2008 08:56:59 UTC",46.2000,-122.1885,2.0,2.20, 6
ak,00025137,1,"Sunday, January 20, 2008 07:53:05 UTC",61.9212,-150.0023,1.9,32.20,06
ci,14343800,1,"Sunday, January 20, 2008 06:57:20 UTC",35.8185,-117.6995,2.1,9.00,12
nc,51194967,1,"Sunday, January 20, 2008 06:20:07 UTC",38.7745,-122.7182,1.1,2.70,11
us,2008mkai,7,"Sunday, January 20, 2008 06:08:55 UTC",-35.2749,-112.0060,5.4,10.00,80
nc,51194966,1,"Sunday, January 20, 2008 06:05:59 UTC",38.8530,-122.8092,1.2,2.80,13
ak,00025135,1,"Sunday, January 20, 2008 05:57:09 UTC",61.4988,-151.2560,1.8,0.00,04
ak,00025133,1,"Sunday, January 20, 2008 05:46:35 UTC",63.0530,-150.8160,2.1,100.00,12
nc,51194964,1,"Sunday, January 20, 2008 05:27:55 UTC",36.7392,-121.3378,1.1,5.20, 9
nc,51194963,1,"Sunday, January 20, 2008 05:27:11 UTC",35.9927,-120.5592,1.5,3.60,21
nc,51194962,1,"Sunday, January 20, 2008 05:15:32 UTC",36.7140,-121.3457,1.4,5.20,16
nc,51194961,1,"Sunday, January 20, 2008 05:12:19 UTC",36.7142,-121.3465,1.8,5.00,18
ak,00025129,1,"Sunday, January 20, 2008 04:40:12 UTC",63.4159,-143.3945,2.9,6.90,19
ci,14343788,1,"Sunday, January 20, 2008 04:33:44 UTC",33.3733,-116.3768,1.3,5.80,53
mb,15250,1,"Sunday, January 20, 2008 04:25:26 UTC",45.5480,-111.6683,1.1,0.00,22
nc,51194956,1,"Sunday, January 20, 2008 04:01:05 UTC",38.8223,-122.8113,1.2,3.40,15
nc,51194955,1,"Sunday, January 20, 2008 03:36:46 UTC",40.1287,-122.7662,1.8,6.20,11
ak,00025127,1,"Sunday, January 20, 2008 03:34:13 UTC",63.5338,-147.7589,1.6,0.10,14
nc,51194954,1,"Sunday, January 20, 2008 03:30:07 UTC",40.1760,-122.7927,1.7,4.30,12
nm,hwb0120c,A,"Sunday, January 20, 2008 02:34:05 UTC",36.2700,-89.4800,1.5,7.50, 9
nc,51194953,1,"Sunday, January 20, 2008 02:16:18 UTC",40.1838,-122.7553,2.3,0.00,35
ak,00025126,1,"Sunday, January 20, 2008 02:13:02 UTC",63.2577,-151.8236,1.0,7.60,05
ci,14343768,1,"Sunday, January 20, 2008 01:46:53 UTC",32.8440,-116.5263,1.4,5.70,11
uw,01200126,1,"Sunday, January 20, 2008 01:26:06 UTC",46.1990,-122.1955,1.0,1.60, 9
ak,00025121,1,"Sunday, January 20, 2008 00:41:10 UTC",63.5377,-146.9563,1.5,0.00,07
nc,51194949,1,"Sunday, January 20, 2008 00:34:44 UTC",40.1698,-122.7840,1.9,8.00,18
nc,51194948,1,"Sunday, January 20, 2008 00:19:50 UTC",40.1548,-122.7857,1.6,3.80,15
nc,51194947,1,"Sunday, January 20, 2008 00:12:45 UTC",40.1510,-122.7568,2.5,0.00,48
ak,00025120,1,"Sunday, January 20, 2008 00:07:52 UTC",59.1764,-153.1296,2.1,1.30,06
nc,51194946,1,"Sunday, January 20, 2008 00:04:42 UTC",40.1598,-122.7858,2.0,0.00,25
nc,51194945,1,"Saturday, January 19, 2008 23:50:12 UTC",40.1458,-122.7773,1.8,6.30,15
nc,51194940,1,"Saturday, January 19, 2008 23:30:35 UTC",40.1528,-122.7803,1.7,0.00,10
nc,51194939,1,"Saturday, January 19, 2008 23:27:23 UTC",40.1225,-122.7998,1.8,9.70,15
nc,51194938,1,"Saturday, January 19, 2008 23:23:58 UTC",40.1550,-122.7725,1.9,11.30,24
nc,51194937,1,"Saturday, January 19, 2008 23:19:45 UTC",40.1713,-122.7590,1.7,1.30,11
nc,51194936,6,"Saturday, January 19, 2008 23:13:05 UTC",40.1250,-122.7590,4.7,10.40,157
ak,00025113,1,"Saturday, January 19, 2008 23:11:59 UTC",61.7232,-146.6139,3.2,18.50,39
nc,51194935,2,"Saturday, January 19, 2008 23:10:15 UTC",40.1485,-122.7543,3.3,10.40,78
ak,00025111,1,"Saturday, January 19, 2008 22:09:04 UTC",58.5015,-152.2917,3.0,6.90,11
ak,00025110,1,"Saturday, January 19, 2008 21:54:39 UTC",63.2862,-151.1253,1.2,12.60,06
uw,01192152,1,"Saturday, January 19, 2008 21:52:09 UTC",47.5358,-121.9899,1.2,18.40,13
ak,00025108,1,"Saturday, January 19, 2008 21:47:01 UTC",63.0619,-149.8733,2.1,88.70,25
us,2008mjbp,6,"Saturday, January 19, 2008 21:41:33 UTC",33.3356,57.3757,4.4,68.50,31
nc,51194929,1,"Saturday, January 19, 2008 21:21:08 UTC",39.4912,-123.1182,2.4,0.10,30
nc,51194927,1,"Saturday, January 19, 2008 21:09:50 UTC",38.8168,-122.7882,2.0,2.30,32
nc,51194925,1,"Saturday, January 19, 2008 21:07:03 UTC",38.8163,-122.7883,2.0,2.40,34
nc,51194923,1,"Saturday, January 19, 2008 19:47:26 UTC",40.1690,-122.7888,2.1,0.10,23
ci,14343724,1,"Saturday, January 19, 2008 19:36:30 UTC",34.0386,-117.2633,1.7,16.80,82
us,2008mjbe,Q,"Saturday, January 19, 2008 19:33:48 UTC",-14.9454,167.3740,5.2,117.90,65
nc,51194922,1,"Saturday, January 19, 2008 19:30:00 UTC",38.8157,-122.7978,1.0,3.70,18
us,2008mjbd,Q,"Saturday, January 19, 2008 19:24:59 UTC",36.4293,70.7201,5.1,202.90,112
ak,00025095,1,"Saturday, January 19, 2008 19:02:47 UTC",63.4601,-151.3358,1.2,5.20,08
uw,01191902,1,"Saturday, January 19, 2008 19:02:18 UTC",46.1971,-122.1843,1.4,0.60,11
ci,14343720,1,"Saturday, January 19, 2008 18:54:43 UTC",33.4673,-116.4911,1.3,15.10,45
ci,14343716,1,"Saturday, January 19, 2008 18:44:48 UTC",33.8478,-116.7066,1.4,26.20,27
nc,51194920,1,"Saturday, January 19, 2008 18:17:53 UTC",40.1483,-122.7687,2.5,10.30,41
nc,51194919,2,"Saturday, January 19, 2008 18:14:57 UTC",40.1537,-122.7610,3.4,9.90,79
nc,51194918,1,"Saturday, January 19, 2008 18:07:10 UTC",40.1708,-122.7832,2.4,7.60,48
ak,00025094,1,"Saturday, January 19, 2008 17:58:01 UTC",54.0506,-164.2307,3.1,88.60,06
nc,51194916,1,"Saturday, January 19, 2008 17:52:51 UTC",40.1652,-122.7637,2.7,0.00,51
nc,51194915,1,"Saturday, January 19, 2008 17:33:23 UTC",40.1502,-122.7657,1.7,8.90,14
nc,51194914,3,"Saturday, January 19, 2008 17:18:46 UTC",40.1745,-122.7550,4.4,10.10,119
ak,00025087,1,"Saturday, January 19, 2008 15:59:27 UTC",57.6464,-154.3828,2.4,58.70,09
us,2008mja3,7,"Saturday, January 19, 2008 15:47:23 UTC",54.1428,159.9360,4.9,133.60,19
ci,14343664,1,"Saturday, January 19, 2008 15:37:25 UTC",32.6863,-116.1111,1.6,7.40,38
nc,51194913,1,"Saturday, January 19, 2008 15:17:15 UTC",37.4533,-121.7752,1.8,8.00,42
ci,14343660,1,"Saturday, January 19, 2008 14:49:41 UTC",34.3745,-116.4760,1.2,10.00,27
ak,00025083,1,"Saturday, January 19, 2008 14:17:54 UTC",63.2093,-150.4340,1.7,100.00,17
ci,14343648,1,"Saturday, January 19, 2008 13:53:08 UTC",33.3436,-116.3853,1.6,15.10,38
us,2008mjax,7,"Saturday, January 19, 2008 13:45:25 UTC",-21.9260,-178.3868,5.1,411.50,134
ak,00025076,1,"Saturday, January 19, 2008 12:53:29 UTC",63.2551,-151.4635,1.3,9.60,07
ci,14343644,1,"Saturday, January 19, 2008 11:59:25 UTC",35.1086,-118.3403,1.6,7.30,24
ak,00025073,1,"Saturday, January 19, 2008 11:42:39 UTC",63.2598,-151.7817,2.0,0.00,13
nn,00230150,1,"Saturday, January 19, 2008 11:27:53 UTC",37.0280,-114.7450,1.5,0.00, 9
nn,00230149,1,"Saturday, January 19, 2008 11:23:01 UTC",36.8610,-116.2580,1.6,8.00,50
nn,00230148,1,"Saturday, January 19, 2008 11:11:07 UTC",36.9940,-114.9720,1.6,0.00,36
ci,14343640,1,"Saturday, January 19, 2008 11:05:31 UTC",34.0995,-118.0271,2.0,7.60,86
ak,00025070,1,"Saturday, January 19, 2008 10:16:18 UTC",63.2796,-152.4446,1.5,15.00,04
ci,14343632,1,"Saturday, January 19, 2008 10:12:12 UTC",33.4070,-116.6641,1.6,10.70,24
nc,51194908,1,"Saturday, January 19, 2008 10:05:45 UTC",38.8185,-122.8108,1.1,2.00,15
us,2008mjat,6,"Saturday, January 19, 2008 09:43:19 UTC",-8.0576,119.9486,4.7,191.80,14
nc,51194907,1,"Saturday, January 19, 2008 09:42:35 UTC",36.7145,-121.3470,1.4,5.30,12
